ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00109,RC-FAB-00541,"BRACKET, SIPPER TUBE CALIBRATION, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00541,1,$209.24,$209.24,,1,3,,
unknown,RC-ASY-00109,Panasonic PM-R25,Panasonic PM-R25 Photointerruptor,1,DigiKey,1110-3888-ND,,,1,$11.00,$11.00,0,1,3,,
unknown,RC-ASY-00109,PANA PM-U25,"PHOTOINTERRUPTOR, U TOP MOUNT, WIRED",1,DIGIKEY,1110-3886-ND,,,1,$11.00,$11.00,0,1,3,,
unknown,RC-ASY-00109,MCM 94500A222,"BHCS, M3X0.5, 8MM, 316SS",3,MCMASTER,94500A222,,,1,$0.06,$0.19,100,1,9,,
unknown,RC-ASY-00111,RC-ASY-00112,V7.3 Z RISER MODULE ASM,1,,,,,1,,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00543,V7.3 CAM RETAINER,1,,,PROTOLABS,,1,134.78,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00578,V7.3 SIM BASEPLATE,1,,,PROTOLABS,,1,372.28,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00579,V7.3 Hinge Base,1,,,PROTOLABS,,1,440.71,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00580,V7.3 CAM PLATE,1,,,PROTOLABS,,1,512.1,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00583,V7.3 Hinge Catch,1,,,PROTOLABS,,1,363.31,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00585,V7.3 XY CAM PUSHER,1,,,PROTOLABS,,1,168.12,,,2,6,,
unknown,RC-ASY-00111,RC-FAB-00586,V7.3 BUTTON SIDE,1,,,PROTOLABS,,1,142.29,,,2,6,,
